id,proper,x,y,z,mag,ci
45425,Aspidiske,-90.887872,78.251756,-201.791538,2.21,0.189
17537,Asterope,57.278032,86.462186,47.384166,5.76,-0.036
80089,Athebyne,-5.477258,-12.300885,24.814526,2.73,0.91
17406,Atik,162.113525,241.065988,183.56674,3.84,0.022
17805,Atlas,57.849417,90.077197,47.782936,3.62,-0.07
82022,Atria,-13.127447,-40.804561,-111.826781,1.91,1.447
40921,Avior,-54.83708,76.515238,-159.872623,1.86,1.196
117951,Axólotl,90.980204,-0.040804,-37.551574,8.23,0.639
13959,Ayeyarwady,89.377224,89.515869,-48.058112,7.81,0.936
106795,Azelfafage,273.366682,-187.713963,412.287993,4.69,-0.119
13667,Azha,29.694338,28.782724,-6.474577,3.89,1.088
38062,Azmidi,-153.118527,296.362603,-154.558514,3.34,1.218
111893,Babcock's star,53443.383418,-18369.410721,82500.724352,8.83,0.031
72910,Baekdu,-29.878814,-29.05737,154.476295,6.83,0.985
86839,Bake-eo,-1.662293,-31.436744,1.488597,3.75,0.043
87665,Barnard's Star,-0.017373,-1.816613,0.149123,9.54,1.57
8628,Baten Kaitos,62.65906,33.12747,-12.925362,3.74,1.136
20483,Beemim,30.609599,68.780131,-50.811792,3.97,1.468
19538,Beid,16.838836,33.000244,-4.442368,4.04,0.327
94829,Belel,35.109071,-95.077194,-44.321033,7.55,1.022
6629,Bélénos,36.464195,14.218374,21.309341,7.12,0.577
25273,Bellatrix,11.658576,76.036136,8.56012,1.64,-0.224
27919,Betelgeuse,3.189296,151.364387,19.682142,0.45,1.5
13176,Bharani,33.287607,30.498162,23.26243,3.61,-0.1
48571,Bibhā,-81.553447,48.954496,-6.331799,8.73,0.664
109081,Biham,24.963846,-12.967714,3.054948,3.52,0.086
87994,Bodu,0.78172,-118.897851,47.065883,4.26,0.406
106908,Bosona,159.050184,-107.872405,-24.988061,8.34,1.009
14802,Botein,32.830084,36.343153,17.561644,4.35,1.033
73486,Brachium,-55.51919,-57.527085,-37.760649,3.25,1.674
26315,Bubup,1.075847,10.699992,-36.774049,6.69,0.584
12159,Buna,33.267021,27.188006,38.769845,7.28,0.656
106444,Bunda,44.13209,-31.551274,-7.483694,4.68,0.175
95992,Campbell's Hydrogen Star,34611.284098,-78889.844899,50778.453408,10.0,-0.013
30365,Canopus,-5.992679,57.132034,-75.396105,-0.62,0.164
24549,Capella,1.712633,8.954439,9.440007,0.08,0.795
744,Caph,8.600014,0.344589,14.409503,2.28,0.38
36744,Castor,-5.311938,12.130011,8.238737,1.58,0.034
118485,Castor B,-5.383676,12.292323,8.349873,2.85,
4412,Castula,30.437701,7.68286,52.6216,4.62,0.957
86475,Cebalrai,-1.802333,-24.949291,1.998237,2.76,1.168
37178,Ceibo,-2.947922,6.367903,-33.822035,9.37,1.006
17447,Celaeno,58.617318,87.564472,47.554545,5.45,-0.034
86529,Cervantes,-0.662558,-9.561971,-12.19514,5.12,0.694
53565,Chalawan,-10.333319,2.794615,9.120037,5.03,0.624
20842,Chamukuy,17.209733,40.871602,12.608233,3.4,0.179
61124,Chara,-6.266213,-0.929293,5.576481,4.24,0.588
99574,Chechia,36.598915,-54.209052,5.240473,6.44,0.867
54718,Chertan,-47.814213,9.675761,13.464276,3.33,-0.003
4417,Cih,79.836717,20.168018,146.837047,2.15,-0.046
1544,Citadelle,153.922235,12.982322,38.670219,8.36,0.92
33632,Citalá,-7.499264,27.84151,-2.708925,6.29,0.572
3472,Cocibolca,28.425119,5.582477,-14.452867,7.78,0.664
43464,Copernicus,-7.429298,7.925466,5.85673,5.96,0.869
62925,Cor Caroli,-26.795114,-6.684223,21.824384,2.89,-0.115
62921,Cor Caroli B,-28.092342,-7.005189,22.877614,5.61,0.337
80221,Cujam,-29.840058,-68.151905,18.595479,4.57,0.002
23820,Cursa,6.156194,26.585876,-2.429001,2.78,0.161
97987,Cygnus X-1,240.17499,-422.950898,343.12808,8.84,0.73
100020,Dabih,55.920163,-79.116953,-25.564218,3.05,0.79
14843,Dalim,8.329775,9.25728,-6.899408,3.8,0.543
114848,Danfeng,12.960983,-2.278056,-22.853202,11.03,1.45
10620,Deltoton,7.36921,5.020051,6.065246,4.84,0.607
101767,Deneb,197.250632,-232.113407,307.600832,1.25,0.092
107213,Deneb Algedi,9.534405,-6.248606,-3.296196,2.85,0.18
57459,Denebola,-10.633926,0.508011,2.767546,2.14,0.09
64037,Diadem,-16.211012,-5.110375,5.368871,4.32,0.455
54001,Dingolay,-153.260473,37.686294,-6.927309,8.21,0.856
3413,Diphda,27.583638,5.310463,-9.119792,2.04,1.019
65839,Dofida,-23.693773,-10.109418,-27.888234,7.17,0.603
78165,Dschubba,-69.332609,-120.492107,-57.928452,2.29,-0.117
53905,Dubhe,-17.298705,4.33488,33.191332,1.81,1.061
86347,Dziban,-0.551088,-6.978598,21.736754,4.57,0.434
86353,Dziban B,-0.555414,-7.044781,21.953273,5.81,0.53
113961,Ebla,27.833867,-6.27534,-1.126403,8.59,1.012
75229,Edasich,-10.015969,-12.471787,26.585776,3.29,1.166
17457,Electra,62.965631,94.124106,50.687766,3.72,-0.105
70532,Elgafar,-28.915866,-21.829712,-1.409548,4.81,0.693
28962,Elkurud,-5.782732,176.005131,-133.923795,5.0,-0.095
25364,Elnath,5.281578,35.6504,19.655456,1.65,-0.13
87561,Eltanin,-0.436154,-29.451035,37.014357,2.24,1.521
5517,Emiw,13.576752,4.332049,-32.293578,8.06,0.849
106972,Enif,172.769915,-116.330918,36.25782,2.38,1.52
116361,Errai,3.008186,-0.271815,13.774751,3.21,1.031
119518,EZ Aqr,3.069893,-1.139264,-0.895949,12.66,1.98
90065,Fafnir,4.51784,-39.674686,87.878659,4.82,1.179
78029,Fang,-81.301517,-139.203202,-79.023364,2.89,-0.18
96858,Fawaris,15.779435,-32.006459,35.8481,2.86,-0.002
48478,Felis,-152.168245,92.455966,-61.341498,4.94,1.559
2241,Felixvarela,34.013301,4.262471,-9.976163,9.62,1.128
57197,Flegetonte,-29.544905,1.845236,1.458929,8.07,0.835
113008,Fomalhaut,6.450517,-1.799476,-3.807757,1.17,0.145
56339,Formosa,-113.87372,12.439743,42.695774,6.45,1.01
2914,Fulu,105.743565,17.207892,146.901502,3.69,-0.196
113529,Fumalsamakah,121.152668,-30.275882,8.338293,4.48,-0.115
60986,Funi,-17.489575,-2.467324,63.644764,8.75,0.645
30049,Furud,-8.512138,95.786306,-55.662081,3.02,-0.16
86991,Fuyue,-1.362278,-30.763993,-23.24156,3.19,1.192
